Province,Year,Annual_Mean_Temp,Annual_Max_Temp,Annual_Min_Temp,Station_Count
MB,1978,0.84,38.9,-48.5,124
MB,1979,0.03,39.4,-49.5,124
MB,1980,2.0,39.5,-44.5,123
MB,1981,3.93,38.5,-39.5,125
MB,1982,0.41,36.5,-48.0,124
MB,1983,2.46,40.2,-44.0,125
MB,1984,2.21,38.0,-45.1,128
MB,1985,0.34,35.0,-47.0,131
MB,1986,2.14,36.0,-43.0,134
MB,1987,4.56,38.0,-36.3,143
MB,1988,2.28,41.5,-46.5,138
MB,1989,0.7,40.5,-49.0,136
MB,1990,1.84,36.5,-46.0,131
MB,1991,2.22,39.0,-46.8,132
MB,1992,1.46,37.0,-41.0,134
MB,1993,1.46,34.0,-43.0,133
MB,1994,1.97,36.0,-47.0,135
MB,1995,1.25,39.0,-46.5,139
MB,1996,-0.53,37.7,-50.5,137
MB,1997,1.89,37.5,-44.5,132
MB,1998,3.79,37.0,-40.0,129
MB,1999,3.35,35.0,-39.6,127
MB,2000,1.79,38.6,-44.0,132
MB,2001,2.96,37.0,-41.0,128
MB,2002,1.41,37.6,-45.0,121
MB,2003,1.99,40.0,-46.0,115
MB,2004,0.52,34.5,-46.5,113
MB,2005,1.89,35.0,-45.5,111
MB,2006,3.19,37.0,-40.8,96
MB,2007,1.7,37.5,-45.0,93
MB,2008,0.29,35.0,-48.0,88
MB,2009,0.98,35.5,-44.5,76
MB,2010,3.05,41.0,-40.3,79
MB,2011,1.9,37.5,-45.1,74
MB,2012,2.85,38.4,-42.1,73
MB,2013,-0.16,38.3,-51.0,71
MB,2014,0.09,36.0,-44.0,66
MB,2015,2.81,37.8,-42.4,62
MB,2016,2.82,35.5,-41.4,61
MB,2017,2.38,36.0,-42.2,58
MB,2018,0.73,39.6,-44.2,57
MB,2019,0.49,37.3,-46.6,56
MB,2020,1.91,37.5,-43.2,55
MB,2021,2.82,42.0,-45.4,55
MB,2022,0.6,40.5,-43.8,54
MB,2023,2.78,37.2,-42.5,55
MB,2024,-5.32,33.3,-43.5,54
NB,1950,5.21,33.9,-32.8,35
NB,1951,6.11,32.8,-31.1,35
NB,1952,6.13,37.8,-29.4,35
NB,1953,6.76,36.1,-26.1,37
NB,1954,5.1,32.8,-30.6,39
NB,1955,4.67,38.3,-33.3,42
NB,1956,4.43,35.0,-31.1,46
NB,1957,5.37,33.3,-33.3,50
NB,1958,5.02,34.4,-29.4,45
NB,1959,5.12,37.2,-35.0,42
NB,1960,5.51,37.2,-30.0,41
NB,1961,5.1,33.3,-34.4,41
NB,1962,4.62,34.4,-33.9,43
NB,1963,4.41,36.7,-36.1,41
NB,1964,4.33,34.4,-32.2,46
NB,1965,3.82,35.0,-33.9,51
NB,1966,5.69,33.3,-28.3,53
NB,1967,4.1,34.4,-36.7,50
NB,1968,4.28,35.6,-34.4,49
NB,1969,5.5,35.0,-28.9,52
NB,1970,4.78,35.6,-35.0,57
NB,1971,4.97,33.9,-34.4,64
NB,1972,3.58,34.4,-37.2,70
NB,1973,5.28,34.4,-32.2,72
NB,1974,3.96,35.0,-33.3,70
NB,1975,4.6,38.9,-36.1,68
NB,1976,4.19,36.7,-36.7,71
NB,1977,4.78,38.0,-32.8,64
NB,1978,3.85,36.7,-35.0,65
NB,1979,5.59,34.1,-32.0,62
NB,1980,4.1,34.8,-34.5,62
NB,1981,5.84,35.1,-29.9,63
NB,1982,4.61,35.4,-34.5,62
NB,1983,5.73,37.0,-30.5,68
NB,1984,5.18,35.0,-33.0,66
NB,1985,4.12,35.0,-35.0,65
NB,1986,3.77,37.0,-34.0,67
NB,1987,4.7,35.0,-33.5,67
NB,1988,4.75,36.0,-35.0,67
NB,1989,3.99,35.0,-38.5,66
NB,1990,5.57,37.5,-32.2,66
NB,1991,4.87,36.0,-35.0,65
NB,1992,4.15,37.5,-34.5,66
NB,1993,4.39,35.0,-35.5,66
NB,1994,4.77,35.5,-36.5,60
NB,1995,5.09,37.0,-33.6,59
NB,1996,5.25,35.0,-31.6,56
NB,1997,4.1,34.0,-33.5,55
NB,1998,6.18,36.0,-28.5,54
NB,1999,6.88,36.0,-29.7,54
NB,2000,5.59,36.0,-30.5,55
NB,2001,6.12,36.5,-31.0,54
NB,2002,5.4,37.5,-29.3,47
NB,2003,5.37,37.4,-34.5,47
NB,2004,4.39,33.5,-34.0,46
NB,2005,5.55,35.2,-31.7,42
NB,2006,6.51,34.0,-27.5,41
NB,2007,4.8,34.3,-33.6,33
NB,2008,5.64,33.0,-32.5,37
NB,2009,5.09,33.8,-33.2,34
NB,2010,7.03,37.0,-24.8,33
NB,2011,5.52,34.0,-31.1,33
NB,2012,6.45,36.5,-30.3,30
NB,2013,5.26,37.3,-31.3,27
NB,2014,5.27,35.0,-34.0,23
NB,2015,4.96,33.3,-35.7,24
NB,2016,5.86,33.2,-30.0,23
NB,2017,5.99,34.0,-30.5,23
NB,2018,5.21,36.0,-30.5,22
NB,2019,4.46,35.0,-32.6,21
NB,2020,6.18,37.2,-29.7,20
NB,2021,6.85,38.0,-28.0,19
NB,2022,6.21,34.6,-32.0,18
NB,2023,6.66,35.5,-28.7,17
NB,2024,0.41,32.4,-29.1,17
NL,1950,1.84,32.2,-33.9,31
NL,1951,4.41,33.9,-27.8,29
NL,1952,4.44,36.7,-26.1,32
NL,1953,3.6,32.2,-28.4,33
NL,1954,3.3,33.9,-28.3,30
NL,1955,3.42,31.7,-26.7,34
NL,1956,3.14,31.7,-27.8,40
NL,1957,2.82,31.1,-31.1,47
NL,1958,4.41,32.2,-23.4,46
NL,1959,2.92,32.8,-30.6,44
NL,1960,4.4,33.3,-25.0,46
NL,1961,3.77,33.3,-31.1,46
NL,1962,3.77,33.3,-28.3,54
NL,1963,3.89,33.9,-27.2,49
NL,1964,3.39,30.6,-27.2,46
NL,1965,3.79,31.7,-26.7,50
NL,1966,4.77,31.7,-24.4,51
NL,1967,3.89,34.4,-32.2,54
NL,1968,3.9,31.7,-25.6,53
NL,1969,4.83,31.1,-22.2,54
NL,1970,4.11,34.4,-28.3,54
NL,1971,4.55,31.1,-28.9,56
NL,1972,2.23,33.9,-35.0,64
NL,1973,3.75,33.3,-29.4,66
NL,1974,2.53,32.8,-31.1,66
NL,1975,2.91,37.2,-33.9,65
NL,1976,3.74,36.7,-31.1,60
NL,1977,4.08,32.4,-26.9,64
NL,1978,3.5,32.0,-28.5,67
NL,1979,5.08,34.4,-26.2,69
NL,1980,3.73,32.0,-26.4,76
NL,1981,5.62,33.2,-21.5,83
NL,1982,3.48,33.5,-28.9,98
NL,1983,5.0,35.5,-26.4,104
NL,1984,4.35,34.5,-29.3,109
NL,1985,3.36,35.4,-28.3,104
NL,1986,3.32,30.8,-29.0,103
NL,1987,4.2,33.0,-27.0,108
NL,1988,4.89,33.5,-26.9,123
NL,1989,3.87,36.2,-31.4,131
NL,1990,3.79,33.1,-32.0,138
NL,1991,3.09,34.0,-30.3,136
NL,1992,2.97,31.9,-30.5,137
NL,1993,3.21,35.0,-31.2,147
NL,1994,3.84,32.8,-31.0,142
NL,1995,3.43,34.5,-30.1,136
NL,1996,4.66,35.4,-25.8,128
NL,1997,2.76,34.0,-30.6,115
NL,1998,4.61,33.5,-26.5,102
NL,1999,5.6,35.3,-25.0,100
NL,2000,4.79,34.5,-26.6,98
NL,2001,4.6,34.7,-27.3,99
NL,2002,3.63,36.1,-29.0,98
NL,2003,4.24,35.0,-30.5,94
NL,2004,4.45,33.2,-26.7,93
NL,2005,4.87,33.8,-27.6,93
NL,2006,4.77,33.0,-26.0,96
NL,2007,3.19,35.0,-30.0,64
NL,2008,4.39,38.0,-30.1,80
NL,2009,3.43,32.7,-28.1,62
NL,2010,5.57,33.0,-21.4,67
NL,2011,3.97,30.6,-27.5,74
NL,2012,4.63,34.8,-29.6,63
NL,2013,3.76,33.5,-29.0,65
NL,2014,3.36,36.5,-32.8,59
NL,2015,2.52,31.6,-32.8,55
NL,2016,3.5,32.0,-28.7,54
NL,2017,4.02,32.4,-27.6,51
NL,2018,3.43,34.9,-28.6,46
NL,2019,3.52,33.5,-28.2,47
NL,2020,4.14,33.5,-29.5,38
NL,2021,5.44,33.8,-23.6,40
NL,2022,5.48,33.0,-27.4,36
NL,2023,4.98,36.0,-27.8,36
NL,2024,0.66,30.1,-27.0,36
NS,1950,6.45,32.2,-26.1,35
NS,1951,7.58,32.2,-22.8,35
NS,1952,7.01,35.0,-22.2,35
NS,1953,7.64,31.7,-20.0,36
NS,1954,6.94,32.8,-22.8,38
NS,1955,6.38,35.0,-23.9,41
NS,1956,6.18,33.9,-23.4,44
NS,1957,6.59,33.3,-25.0,45
NS,1958,6.91,31.7,-22.2,52
NS,1959,6.32,33.3,-27.2,49
NS,1960,7.06,36.1,-22.8,52
NS,1961,6.77,33.3,-27.2,53
NS,1962,5.95,33.9,-26.7,58
NS,1963,5.64,35.6,-27.2,59
NS,1964,5.74,32.8,-24.4,62
NS,1965,5.34,35.0,-25.6,66
NS,1966,6.78,31.7,-22.2,73
NS,1967,5.81,32.8,-28.9,72
NS,1968,5.99,33.9,-27.2,73
NS,1969,7.07,34.4,-21.7,74
NS,1970,5.93,34.4,-27.8,73
NS,1971,6.47,34.4,-26.7,73
NS,1972,5.53,34.4,-28.9,75
NS,1973,6.92,35.0,-25.6,79
NS,1974,5.63,32.2,-26.1,79
NS,1975,6.09,36.1,-27.8,78
NS,1976,6.42,38.9,-27.2,78
NS,1977,6.46,35.0,-24.4,73
NS,1978,5.66,35.0,-26.7,75
NS,1979,7.11,33.0,-24.5,74
NS,1980,5.67,33.5,-26.7,73
NS,1981,7.22,33.3,-22.5,70
NS,1982,6.33,34.5,-26.0,74
NS,1983,7.53,34.5,-22.5,73
NS,1984,7.27,35.0,-25.0,79
NS,1985,5.65,34.0,-28.0,78
NS,1986,5.66,33.1,-26.5,78
NS,1987,6.22,35.5,-26.5,71
NS,1988,6.4,35.5,-26.5,75
NS,1989,6.09,34.0,-29.0,76
NS,1990,7.37,34.0,-25.5,76
NS,1991,6.88,36.0,-26.0,77
NS,1992,5.82,36.0,-27.5,77
NS,1993,6.14,35.0,-29.0,79
NS,1994,6.72,36.0,-29.5,76
NS,1995,6.62,36.0,-25.0,74
NS,1996,6.66,32.6,-24.5,72
NS,1997,5.89,34.0,-25.0,71
NS,1998,7.47,36.0,-21.1,69
NS,1999,8.31,35.0,-23.3,68
NS,2000,7.09,35.5,-24.0,74
NS,2001,7.1,38.0,-25.6,68
NS,2002,6.79,36.9,-23.5,65
NS,2003,6.77,34.0,-28.0,66
NS,2004,5.99,33.5,-27.5,64
NS,2005,6.76,34.0,-25.5,60
NS,2006,7.71,37.5,-21.0,55
NS,2007,6.1,34.8,-25.9,42
NS,2008,7.72,33.0,-23.0,46
NS,2009,6.7,39.0,-25.0,38
NS,2010,7.97,34.7,-19.7,47
NS,2011,8.17,33.5,-21.8,46
NS,2012,8.29,33.5,-22.2,41
NS,2013,6.9,34.1,-24.8,38
NS,2014,7.08,33.1,-25.6,34
NS,2015,6.46,35.6,-27.9,31
NS,2016,7.5,38.0,-22.0,31
NS,2017,7.55,33.0,-23.3,33
NS,2018,7.25,35.5,-23.8,35
NS,2019,6.48,35.7,-23.7,35
NS,2020,7.79,35.0,-22.2,32
NS,2021,7.94,33.5,-21.0,32
NS,2022,8.11,35.4,-23.3,30
NS,2023,7.93,34.1,-22.2,30
NS,2024,2.62,31.0,-21.4,29
NT,1950,-6.76,35.0,-50.0,20
NT,1951,-7.73,35.0,-52.8,20
NT,1952,-5.8,32.2,-52.2,20
NT,1953,-5.49,36.1,-51.7,22
NT,1954,-6.73,34.4,-51.7,22
NT,1955,-8.6,35.6,-50.0,23
NT,1956,-8.27,32.2,-51.2,22
NT,1957,-6.76,31.1,-50.6,28
NT,1958,-6.65,31.7,-50.0,27
NT,1959,-9.59,32.8,-52.2,33
NT,1960,-8.73,31.7,-51.2,32
NT,1961,-8.85,33.3,-51.2,33
NT,1962,-7.81,32.8,-52.2,30
NT,1963,-8.06,31.7,-51.7,29
NT,1964,-9.11,33.9,-51.2,22
NT,1965,-8.14,31.7,-52.2,25
NT,1966,-8.78,31.7,-52.2,25
NT,1967,-8.14,33.3,-53.9,25
NT,1968,-7.28,31.1,-56.7,26
NT,1969,-7.05,33.9,-50.6,26
NT,1970,-7.34,35.0,-51.2,27
NT,1971,-7.02,35.6,-53.3,22
NT,1972,-8.98,31.7,-51.7,25
NT,1973,-6.31,33.9,-52.2,28
NT,1974,-6.83,35.0,-50.6,46
NT,1975,-6.92,35.6,-55.6,41
NT,1976,-6.35,32.8,-50.6,29
NT,1977,-6.28,30.6,-51.0,29
NT,1978,-6.81,31.0,-46.0,29
NT,1979,-6.91,32.6,-51.0,30
NT,1980,-6.38,34.0,-51.0,31
NT,1981,-4.89,36.7,-48.1,33
NT,1982,-8.77,33.9,-49.0,33
NT,1983,-8.02,32.2,-50.0,32
NT,1984,-7.04,36.0,-49.1,32
NT,1985,-7.52,33.0,-50.7,33
NT,1986,-7.37,32.0,-49.0,32
NT,1987,-5.54,32.0,-53.9,31
NT,1988,-6.76,31.1,-51.0,31
NT,1989,-6.56,35.0,-48.0,30
NT,1990,-7.33,34.2,-55.0,32
NT,1991,-8.42,35.2,-48.5,30
NT,1992,-7.51,33.0,-46.5,30
NT,1993,-5.92,31.0,-48.0,33
NT,1994,-6.25,36.6,-52.0,35
NT,1995,-5.81,37.0,-51.9,47
NT,1996,-7.68,35.2,-49.6,50
NT,1997,-5.69,33.1,-50.0,53
NT,1998,-3.7,34.5,-49.9,56
NT,1999,-5.71,38.0,-48.2,59
NT,2000,-6.5,31.6,-52.3,68
NT,2001,-6.07,34.6,-50.0,67
NT,2002,-6.77,38.3,-51.5,65
NT,2003,-6.58,34.2,-47.8,67
NT,2004,-7.91,36.2,-51.7,65
NT,2005,-5.89,31.5,-52.5,60
NT,2006,-4.68,34.6,-50.0,63
NT,2007,-6.39,33.6,-49.2,63
NT,2008,-6.58,47.5,-49.6,61
NT,2009,-6.04,35.1,-50.0,51
NT,2010,-3.93,38.8,-47.0,62
NT,2011,-5.41,34.3,-48.9,47
NT,2012,-5.02,35.8,-46.3,45
NT,2013,-7.02,34.2,-48.6,55
NT,2014,-5.68,36.7,-46.0,42
NT,2015,-5.12,39.5,-45.1,39
NT,2016,-4.24,34.2,-44.0,40
NT,2017,-3.91,35.3,-51.7,40
NT,2018,-5.4,36.0,-48.4,39
NT,2019,-5.67,34.0,-48.0,37
NT,2020,-6.69,33.2,-51.8,39
NT,2021,-6.56,38.1,-51.1,42
NT,2022,-6.29,34.7,-53.4,41
NT,2023,-3.24,37.9,-45.8,40
NT,2024,-12.49,36.7,-49.7,37
NU,1950,-12.6,27.2,-51.2,18
NU,1951,-13.21,27.8,-52.8,18
NU,1952,-11.82,26.1,-51.2,18
NU,1953,-11.99,28.3,-51.7,17
NU,1954,-12.1,28.3,-48.3,19
NU,1955,-12.14,28.9,-51.2,19
NU,1956,-13.49,29.4,-53.9,18
NU,1957,-12.1,33.9,-50.6,37
NU,1958,-11.43,34.4,-53.3,41
NU,1959,-13.32,28.3,-50.6,55
NU,1960,-11.48,31.1,-51.2,50
NU,1961,-13.22,31.7,-51.2,51
NU,1962,-12.26,28.3,-49.5,51
NU,1963,-12.52,27.2,-53.3,50
NU,1964,-13.5,32.2,-53.3,35
NU,1965,-12.52,26.1,-51.2,34
NU,1966,-12.36,28.3,-53.3,33
NU,1967,-13.22,27.2,-51.7,32
NU,1968,-12.27,23.9,-53.9,32
NU,1969,-11.7,27.8,-48.3,35
NU,1970,-12.75,26.1,-50.6,35
NU,1971,-12.17,28.9,-51.7,36
NU,1972,-15.4,25.6,-53.9,33
NU,1973,-11.81,33.9,-52.8,38
NU,1974,-13.68,27.2,-52.2,41
NU,1975,-13.38,28.3,-54.4,41
NU,1976,-13.43,30.6,-52.2,39
NU,1977,-11.58,33.0,-51.7,46
NU,1978,-13.71,32.0,-50.8,45
NU,1979,-13.08,36.0,-57.0,42
NU,1980,-11.79,34.0,-49.8,40
NU,1981,-10.56,33.0,-50.9,42
NU,1982,-13.2,32.7,-50.0,38
NU,1983,-12.58,33.9,-50.2,41
NU,1984,-12.13,35.7,-51.3,46
NU,1985,-11.41,35.7,-49.8,48
NU,1986,-13.67,33.1,-53.9,46
NU,1987,-12.6,33.7,-55.3,45
NU,1988,-11.76,34.4,-55.6,45
NU,1989,-12.72,34.9,-52.4,46
NU,1990,-13.19,35.6,-52.7,46
NU,1991,-13.01,36.5,-50.7,48
NU,1992,-13.3,33.2,-50.0,47
NU,1993,-12.54,30.7,-49.9,49
NU,1994,-12.97,35.2,-49.9,52
NU,1995,-11.12,31.1,-52.0,59
NU,1996,-11.19,36.8,-52.5,59
NU,1997,-11.48,36.4,-49.7,59
NU,1998,-9.95,35.3,-50.0,59
NU,1999,-11.13,33.1,-46.6,62
NU,2000,-11.55,35.8,-50.2,60
NU,2001,-10.7,35.7,-51.2,60
NU,2002,-11.39,36.2,-50.0,63
NU,2003,-10.96,35.4,-49.1,60
NU,2004,-13.37,35.4,-51.0,68
NU,2005,-10.93,29.0,-50.2,67
NU,2006,-9.87,33.3,-46.9,67
NU,2007,-11.43,30.5,-49.7,66
NU,2008,-11.28,36.6,-50.5,72
NU,2009,-10.97,25.5,-50.1,62
NU,2010,-8.25,27.9,-45.4,66
NU,2011,-10.69,29.2,-49.6,61
NU,2012,-10.61,29.9,-50.4,68
NU,2013,-11.7,32.5,-51.5,68
NU,2014,-11.05,31.0,-50.4,58
NU,2015,-12.42,33.2,-49.2,58
NU,2016,-10.66,29.4,-47.4,55
NU,2017,-10.06,33.5,-47.6,56
NU,2018,-12.43,29.8,-51.8,56
NU,2019,-10.59,31.0,-48.8,51
NU,2020,-11.63,33.2,-49.7,50
NU,2021,-9.85,30.5,-50.3,56
NU,2022,-11.8,30.5,-49.2,56
NU,2023,-10.13,32.8,-50.8,53
NU,2024,-13.1,33.5,-47.2,41
ON,1950,4.67,37.2,-37.8,205
ON,1951,5.45,35.6,-36.1,214
ON,1952,6.39,37.8,-32.8,221
ON,1953,7.08,38.3,-31.1,234
ON,1954,5.81,37.3,-33.9,240
ON,1955,6.33,39.4,-37.2,238
ON,1956,4.93,37.2,-35.0,239
ON,1957,5.77,36.7,-35.6,238
ON,1958,5.16,35.0,-35.0,237
ON,1959,5.66,38.3,-38.3,256
ON,1960,5.47,35.6,-35.6,249
ON,1961,6.06,36.7,-34.5,264
ON,1962,5.78,35.6,-36.7,277
ON,1963,5.25,37.2,-37.8,271
ON,1964,6.07,37.2,-33.3,274
ON,1965,5.42,36.7,-33.9,284
ON,1966,5.75,37.8,-33.9,293
ON,1967,5.68,34.4,-35.0,294
ON,1968,6.01,35.6,-35.0,306
ON,1969,5.71,36.1,-33.3,319
ON,1970,5.49,35.6,-38.4,322
ON,1971,5.84,37.8,-35.6,332
ON,1972,4.58,38.9,-37.2,326
ON,1973,6.88,37.2,-33.3,323
ON,1974,5.46,35.6,-34.4,333
ON,1975,6.27,42.8,-35.0,329
ON,1976,5.01,37.2,-37.8,332
ON,1977,5.97,39.4,-35.2,335
ON,1978,4.87,38.5,-38.0,330
ON,1979,5.52,36.0,-36.0,329
ON,1980,5.04,37.0,-37.0,330
ON,1981,6.25,38.0,-33.2,321
ON,1982,5.52,37.0,-37.3,313
ON,1983,6.59,40.3,-33.3,322
ON,1984,6.31,38.0,-34.6,317
ON,1985,5.72,39.0,-34.8,309
ON,1986,6.36,36.0,-32.3,311
ON,1987,7.29,37.0,-30.9,301
ON,1988,6.39,40.5,-34.9,301
ON,1989,5.41,37.5,-38.0,299
ON,1990,7.17,37.0,-30.1,294
ON,1991,7.29,37.5,-33.2,293
ON,1992,5.52,36.0,-31.9,301
ON,1993,5.81,36.0,-34.9,292
ON,1994,5.95,36.5,-36.8,290
ON,1995,5.87,40.0,-35.0,286
ON,1996,5.51,36.0,-36.0,277
ON,1997,5.82,36.0,-33.2,268
ON,1998,8.33,36.6,-27.7,257
ON,1999,7.45,37.1,-31.6,255
ON,2000,6.21,35.0,-33.4,253
ON,2001,7.54,38.5,-29.5,250
ON,2002,6.71,38.1,-31.6,234
ON,2003,5.73,36.5,-35.9,232
