Province,Year,Emissions
New Brunswick,2017,6974556.48919
New Brunswick,2018,7006895.364201
New Brunswick,2019,6816760.902847
New Brunswick,2020,6137973.342416001
New Brunswick,2021,6639332.094248
New Brunswick,2022,7342246.13042
New Brunswick,2023,6726547.992419
Newfoundland and Labrador,2004,5400858.430616001
Newfoundland and Labrador,2005,5432556.4111709995
Newfoundland and Labrador,2006,4989982.55166
Newfoundland and Labrador,2007,5460799.641262
Newfoundland and Labrador,2008,5300541.854269
Newfoundland and Labrador,2009,4399994.100839
Newfoundland and Labrador,2010,4567904.042622
Newfoundland and Labrador,2011,4273242.247683
Newfoundland and Labrador,2012,4350494.411282999
Newfoundland and Labrador,2013,4376408.374645
Newfoundland and Labrador,2014,4685180.769034
Newfoundland and Labrador,2015,4811231.280362
Newfoundland and Labrador,2016,5441689.471693
Newfoundland and Labrador,2017,5824615.987541
Newfoundland and Labrador,2018,5455231.0618
Newfoundland and Labrador,2019,5719305.021535
Newfoundland and Labrador,2020,3846801.847442
Newfoundland and Labrador,2021,3391562.651329
Newfoundland and Labrador,2022,3178882.2776200003
Newfoundland and Labrador,2023,3189377.514899
Northwest Territories,2004,364149.197453
Northwest Territories,2005,360526.89973199996
Northwest Territories,2006,320833.070829
Northwest Territories,2007,521208.787704
Northwest Territories,2008,530198.798268
Northwest Territories,2009,589323.026036
Northwest Territories,2010,544207.469867
Northwest Territories,2011,554277.448938
Northwest Territories,2012,549147.912094
Northwest Territories,2013,590519.801656
Northwest Territories,2014,575382.508661
Northwest Territories,2015,666372.095766
Northwest Territories,2016,568105.465981
Northwest Territories,2017,572257.9417
Northwest Territories,2018,608984.215768
Northwest Territories,2019,609236.785724
Northwest Territories,2020,487893.013915
Northwest Territories,2021,559783.343786
Northwest Territories,2022,575108.517418
Northwest Territories,2023,642962.892476
Nova Scotia,2004,11728073.029128
Nova Scotia,2005,11704955.728209
Nova Scotia,2006,10778505.216084
Nova Scotia,2007,11420545.100895
Nova Scotia,2008,11107710.470893
Nova Scotia,2009,10792194.481489
Nova Scotia,2010,10618193.5982
Nova Scotia,2011,9877761.188406
Nova Scotia,2012,8816380.518772
Nova Scotia,2013,9126322.125822
Nova Scotia,2014,7825608.20109
Nova Scotia,2015,7606531.299098
Nova Scotia,2016,7792051.672228999
Nova Scotia,2017,7580103.723292
Nova Scotia,2018,7879296.058159
Nova Scotia,2019,7612449.050305
Nova Scotia,2020,7155146.479586
Nova Scotia,2021,6711783.236845
Nova Scotia,2022,6460141.717771
Nova Scotia,2023,5830552.832156
Nunavut,2010,134226.615
Nunavut,2011,198018.98517499998
Nunavut,2012,202777.41
Nunavut,2013,194989.59
Nunavut,2014,179332.47
Nunavut,2015,186682.04
Nunavut,2016,259326.954926
Nunavut,2017,382099.343
Nunavut,2018,505756.41493100004
Nunavut,2019,598504.830387
Nunavut,2020,623190.525011
Nunavut,2021,793287.830767
Nunavut,2022,662905.005428
Nunavut,2023,667921.118379
Ontario,2004,76907177.89699599
Ontario,2005,78722301.822011
Ontario,2006,71855117.32344
Ontario,2007,74582246.299532
Ontario,2008,67463073.382632
Ontario,2009,49951254.993304
Ontario,2010,56650619.474263996
Ontario,2011,50093302.358
Ontario,2012,50670296.978281
Ontario,2013,46048849.327834
Ontario,2014,43636011.958119
Ontario,2015,42513142.840018
Ontario,2016,42141997.982523
Ontario,2017,43626123.29678
Ontario,2018,46223648.398457
Ontario,2019,45546395.000791
Ontario,2020,42965057.438082
Ontario,2021,46742225.006134
Ontario,2022,47797976.327257
Ontario,2023,49568089.346391
Prince Edward Island,2004,107000.0
Prince Edward Island,2005,104326.5
Prince Edward Island,2006,99608.032813
Prince Edward Island,2007,101962.460938
Prince Edward Island,2008,98589.0
Prince Edward Island,2009,74103.0
Prince Edward Island,2010,62811.0
Prince Edward Island,2011,65117.225
Prince Edward Island,2012,52648.951094
Prince Edward Island,2013,59519.144863
Prince Edward Island,2014,55466.364706
Prince Edward Island,2015,50305.411719
Prince Edward Island,2016,55078.680781
Prince Edward Island,2017,98826.298
Prince Edward Island,2018,95582.130444
Prince Edward Island,2019,85012.00600000001
Prince Edward Island,2020,80829.1698
Prince Edward Island,2021,95132.6971
Prince Edward Island,2022,52146.228017
Prince Edward Island,2023,53167.211489
Quebec,2004,23398157.707397
Quebec,2005,22312177.045017
Quebec,2006,22464869.254153002
Quebec,2007,23423962.694262
Quebec,2008,20128038.616412
Quebec,2009,20550088.638552
Quebec,2010,20965463.609781
Quebec,2011,20241550.513728
Quebec,2012,20858035.142036
Quebec,2013,20033074.887657
Quebec,2014,20317425.046203
Quebec,2015,19938604.455869
Quebec,2016,19667868.281657
Quebec,2017,22895512.335737
Quebec,2018,22088709.253856
Quebec,2019,22675630.07072
Quebec,2020,21715893.144033
Quebec,2021,22768226.518276
Quebec,2022,22732613.737026
Quebec,2023,22884555.922579
Saskatchewan,2004,22297455.111623
Saskatchewan,2005,22700179.278662
Saskatchewan,2006,22212634.111888
Saskatchewan,2007,23107898.124019
Saskatchewan,2008,22018014.391676
Saskatchewan,2009,22537097.746420998
Saskatchewan,2010,22804530.923498
Saskatchewan,2011,22553539.2973
Saskatchewan,2012,23658763.898548
Saskatchewan,2013,23885252.649007
Saskatchewan,2014,23993084.599032
Saskatchewan,2015,24997856.606502
Saskatchewan,2016,25170020.795841
Saskatchewan,2017,29232903.583217
Saskatchewan,2018,29767151.704176
Saskatchewan,2019,29252267.20921
Saskatchewan,2020,25579273.735978
Saskatchewan,2021,28705137.694328
Saskatchewan,2022,28393359.114955
Saskatchewan,2023,28416601.383306
Yukon,2009,11727.487922
Yukon,2010,11631.695234
Yukon,2011,12032.407391
Yukon,2012,12559.115039
Yukon,2013,12359.140961
Yukon,2014,12222.588469
Yukon,2015,11871.28483
Yukon,2016,12206.29843
Yukon,2017,29986.013067
Yukon,2018,46646.770001
Yukon,2019,46625.726800000004
Yukon,2020,58318.56035099999
Yukon,2021,49494.380384000004
Yukon,2022,152673.490228
Yukon,2023,32444.163065
